title,percentage,cash,time
Creche Espírita  Léon Denis - Educar para Transformar,108%,R$ 43.283,
Yggdrasill - RPG,172%,R$ 43.113,
acampamento levante SP,107%,R$ 43.059,
100 Mulheres Cabulosas da História,56%,R$ 43.032,
"Adapt Your Mind" - O Filme,112%,R$ 42.960,
CD Yedid Nefesh - Amigo da Alma ,119%,R$ 42.923,
REIMPRESSÃO DE SHARAZ-DE VOL. 1,118%,R$ 42.655,
Lançamento do DVD da Mundo Livre s/a ,106%,R$ 42.641,
Teco Martins - Gravação do primeiro disco solo,121%,R$ 42.619,
Encontro dos Trabalhadores Sem Teto,106%,R$ 42.587,
Esdi+50,121%,R$ 42.560,
Livro "A Suprema Herança do Homem"	 do criador da Técnica Alexander,106%,R$ 42.522,
Projeto Arquiteto de Família – A reforma da casa de D. Maria,106%,R$ 42.498,
Pisco de Luz - Kalunga,57%,R$ 42.350,
TANKA,162%,R$ 42.340,
Placas para Marielle Franco,2116%,R$ 42.333,
TETO na Vila Esperança,102%,R$ 42.324,
BiciQuétinha  - Bicicleta de Equilíbrio de Madeira,140%,R$ 42.231,
NOVO CD "ESSÊNCIA",105%,R$ 42.165,
Projeto Dodói,166%,R$ 42.160,
Saudade,210%,R$ 42.139,
Grupo Aruanda em Portugal e na Inglaterra,104%,R$ 41.870,
Regravação do primeiro cd do Tianastácia ,104%,R$ 41.745,
Livro - Face a face com o abismo,277%,R$ 41.605,
Calendário Ilustrado 2017 Fundação Athos Bulcão,104%,R$ 41.604,
Documentário - Marginal Alado,118%,R$ 41.513,
Horo - O castelo da neblina,172%,R$ 41.446,
O Beijo Adolescente 3,105%,R$ 41.366,
Casa do desejo - Literaturas que desejamos,103%,R$ 41.352,
Tati Pi primeiro CD,117%,R$ 41.307,
YOWIYA,242%,R$ 41.237,
Nossa Terras Caipora,13%,R$ 41.101,
Campo do Meio: apoio às 450 famílias ameaçadas,357%,R$ 41.066,
CD Afluências,103%,R$ 41.037,
Cidade da Bicicleta,113%,R$ 40.767,
Aurora,113%,R$ 40.750,
Terapia - Vol. I,135%,R$ 40.700,
Criaturas Terríveis,203%,R$ 40.604,
LIVRO RESIDÊNCIA BELOTTI,107%,R$ 40.565,
Contos dos Orixás,337%,R$ 40.525,
Cúpula dos Povos na Rio+20 por Justiça Social e Ambiental,337%,R$ 40.516,
Caos&Beleza - Gravação do 1º CD de João Biano,100%,R$ 40.495,
CD DO HIROSHI,119%,R$ 40.482,
Bazar Pamplona: terceiro disco,106%,R$ 40.434,
Princesa de Aiocá ,104%,R$ 40.414,
Construide em Brumadinho,44%,R$ 40.215,
Uma Noite em L'Enfer,223%,R$ 40.205,
Thomás Tristonho,114%,R$ 40.202,
Produção do CD 3 de Isadora Canto (digital),114%,R$ 40.115,
Projeto Beleza Real,200%,R$ 40.063,
Alê Monteiro,107%,R$ 39.942,
Bloco da Laje Carnaval 2016,170%,R$ 39.910,
Genoma do Mexilhão Dourado,99%,R$ 39.736,
BATIZADO,108%,R$ 39.685,
Will Tirando nº 2,218%,R$ 39.651,
Jardim Comestível,122%,R$ 39.590,
Até Aqui Tudo Bem,113%,R$ 39.580,
Project 3.3,122%,R$ 39.466,
Casa Camaleão: Autoestima contra o Câncer,106%,R$ 39.380,
Garagem Fab Lab 2.0,114%,R$ 39.375,
Praieiro - O novo disco dos Selvagens,112%,R$ 39.350,
CANTA A DEMOCRACIA,23%,R$ 39.300,
PICHÓN,130%,R$ 39.199,
O Homem da Raia do Canto,111%,R$ 39.155,
Uma Carta Perdida,116%,R$ 39.126,
Combo Rangers 3 - Somos Iguais,78%,R$ 39.089,
DVD Amaranto e Orquestra de Câmara de Ouro Branco,105%,R$ 39.025,
Contos Reunidos do Mestre do Horror Cósmico,139%,R$ 39.012,
GOLDEN AGE - A ERA DE OURO DOS QUADRINHOS,112%,R$ 38.923,
um pra um,144%,R$ 38.745,
Anime Saga,161%,R$ 38.742,
Finalização do álbum CASA de Gisele De Santi,101%,R$ 38.675,
