contributors,goal,pledged,type,where,title,percentage,cash,time,project_url
390 pessoas,Meta R$ 25.990,R$ 34.071,Campanha Flexível , São Paulo	 SP,Casa da VôVó,131%,R$ 34.071,01/05/2017,/casadavovo?ref=ctrse_explore
85 pessoas,Meta R$ 100.000,R$ 34.033,Campanha Flexível , São Paulo	 SP,Centro Cultural Aliança Pinheiros,34%,R$ 34.033,24/05/2017,/project_23050?ref=ctrse_explore
115 pessoas,Meta R$ 31.437,R$ 33.917,Campanha Tudo-ou-nada , São Paulo	 SP,[+18] Textos Putos Volume 2 ,107%,R$ 33.917,20/10/2018,/textos_putos_volume_2?ref=ctrse_explore
160 pessoas,Meta R$ 30.460,R$ 33.893,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,CD Pablo Paleologo,111%,R$ 33.893,14/09/2015,/pablopaleologo?ref=ctrse_explore
207 pessoas,Meta R$ 20.000,R$ 33.873,Campanha Tudo-ou-nada , Barueri	 SP,Aventuras para Quinta Edição,169%,R$ 33.873,18/01/2019,/aventuras5e?ref=ctrse_explore
335 pessoas,Meta R$ 55.000,R$ 33.832,Campanha Flexível , Curitiba	 PR,KM SOCIAL,61%,R$ 33.832,30/04/2016,/kmsocial?ref=ctrse_explore
174 pessoas,Meta R$ 30.030,R$ 33.705,Campanha Tudo-ou-nada , Niterói	 RJ,Facção Caipira - Do Lugar Onde Estou Já Fui Embora,112%,R$ 33.705,28/09/2018,/faccaocaipira?ref=ctrse_explore
233 pessoas,Meta R$ 28.000,R$ 33.636,Campanha Flexível , Bragança	 PA,Reedições de Dalcídio Jurandir,120%,R$ 33.636,31/01/2018,/dalcidiojurandir?ref=ctrse_explore
178 pessoas,Meta R$ 30.000,R$ 33.625,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,TUDO VAI FICAR DA COR QUE VOCÊ QUISER,112%,R$ 33.625,02/10/2011,/tudo-vai-ficar-da-cor-que-voce-quiser?ref=ctrse_explore
222 pessoas,Meta R$ 33.500,R$ 33.575,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,MateriaBrasil 2013,100%,R$ 33.575,17/05/2013,/mb2013?ref=ctrse_explore
562 pessoas,Meta R$ 15.000,R$ 33.551,Campanha Tudo-ou-nada , São Paulo	 SP,QUAD 2,223%,R$ 33.551,07/11/2014,/QUAD2?ref=ctrse_explore
364 pessoas,Meta R$ 8.500,R$ 33.537,Campanha Tudo-ou-nada , São Paulo	 SP,La Muse,394%,R$ 33.537,07/08/2019,/lamuse?ref=ctrse_explore
166 pessoas,Meta R$ 10,R$ 33.466,Campanha Flexível , São Paulo	 SP,Chamado de Cthulhu/Late Pledge,334660%,R$ 33.466,14/03/2018,/chamado_de_cthulhu_LatePledge?ref=ctrse_explore
259 pessoas,Meta R$ 28.250,R$ 33.465,Campanha Flexível , São Paulo	 SP,HATEEN Gravação DVD Ao Vivo no Hangar 110 ,118%,R$ 33.465,19/12/2017,/hateen?ref=ctrse_explore
177 pessoas,Meta R$ 25.000,R$ 33.452,Campanha Tudo-ou-nada , São Paulo	 SP,1ºCD -  João Guarizo - Na Vida Anterior,133%,R$ 33.452,10/07/2014,/navidaanterior?ref=ctrse_explore
