contributors,goal,pledged,type,where,title,percentage,cash,time,project_url
126 pessoas,Meta R$ 17.000,R$ 17.942,Campanha Tudo-ou-nada , Santana de Parnaíba	 SP,Longa-Metragem "Bala Sem Nome",105%,R$ 17.942,28/10/2012,/balasemnome?ref=ctrse_explore
180 pessoas,Meta R$ 12.000,R$ 17.940,Campanha Flexível , Niterói	 RJ,Álbum Digital - As canções que fiz pra você,149%,R$ 17.940,04/03/2018,/ascancoesquefizpravoce?ref=ctrse_explore
478 pessoas,Meta R$ 13.000,R$ 17.936,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Remendos,137%,R$ 17.936,26/10/2014,/remendos?ref=ctrse_explore
211 pessoas,Meta R$ 16.980,R$ 17.927,Campanha Tudo-ou-nada , São Paulo	 SP,Lala Laiá: Finalização + Show + Gravação Ao Vivo,105%,R$ 17.927,22/12/2015,/lalalaia?ref=ctrse_explore
466 pessoas,Meta R$ 13.000,R$ 17.916,Campanha Tudo-ou-nada , Caruaru	 PE,MONO,137%,R$ 17.916,09/10/2015,/mono?ref=ctrse_explore
254 pessoas,Meta R$ 15.000,R$ 17.915,Campanha Tudo-ou-nada , Campinas	 SP,BLUE - Um dia de gato,119%,R$ 17.915,11/07/2014,/blue?ref=ctrse_explore
201 pessoas,Meta R$ 12.000,R$ 17.892,Campanha Tudo-ou-nada , Maringá	 PR,| NOSOTRAS Tarot | Uma viagem ao útero cósmico,149%,R$ 17.892,25/03/2017,/nosotrastarot?ref=ctrse_explore
116 pessoas,Meta R$ 16.000,R$ 17.880,Campanha Tudo-ou-nada , São Paulo	 SP,Livro Busca Vida ,111%,R$ 17.880,01/11/2014,/buscavida?ref=ctrse_explore
187 pessoas,Meta R$ 17.241,R$ 17.866,Campanha Tudo-ou-nada , São Paulo	 SP,Mano Unica - disco "Lecturas",103%,R$ 17.866,15/12/2017,/manounica?ref=ctrse_explore
115 pessoas,Meta R$ 15.000,R$ 17.857,Campanha Tudo-ou-nada , Brasília	 DF,Seu Estrelo 10 Anos,119%,R$ 17.857,08/06/2014,/seuestrelo10anos?ref=ctrse_explore
120 pessoas,Meta R$ 16.950,R$ 17.850,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Se Eu Fosse Eu,105%,R$ 17.850,17/01/2015,/seeufosseeu?ref=ctrse_explore
171 pessoas,Meta R$ 14.577,R$ 17.845,Campanha Tudo-ou-nada , Porto Alegre	 RS,DIONÍSIO - Novela Gráfica,122%,R$ 17.845,30/06/2014,/dionisio3d?ref=ctrse_explore
152 pessoas,Meta R$ 16.812,R$ 17.842,Campanha Tudo-ou-nada , Belo Horizonte	 MG,Professor de Português,106%,R$ 17.842,18/11/2016,/professordeportugues?ref=ctrse_explore
211 pessoas,Meta R$ 15.000,R$ 17.840,Campanha Tudo-ou-nada , São Paulo	 SP,Fomento à criação de escolas Waldorf públicas,118%,R$ 17.840,18/03/2019,/escolaswaldorfpublicas?ref=ctrse_explore
464 pessoas,Meta R$ 12.500,R$ 17.830,Campanha Tudo-ou-nada , Parnamirim	 PE,Histórias de Verdade,142%,R$ 17.830,11/09/2015,/historiasdeverdade?ref=ctrse_explore
203 pessoas,Meta R$ 15.896,R$ 17.830,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Calendário Delas por Elas 2019,112%,R$ 17.830,08/12/2018,/delasporelas2019?ref=ctrse_explore
424 pessoas,Meta R$ 10.000,R$ 17.815,Campanha Tudo-ou-nada , Curitiba	 PR,ALHO-PORÓ,178%,R$ 17.815,11/11/2017,/alhoporo?ref=ctrse_explore
226 pessoas,Meta R$ 17.000,R$ 17.806,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,10ª Feira Estadual Cicero Guedes,104%,R$ 17.806,22/12/2018,/10_feira_estadual_da_reforma_agraria_cicero_guedes_7b3c?ref=ctrse_explore
195 pessoas,Meta R$ 9.000,R$ 17.800,Campanha Tudo-ou-nada , Curitiba	 PR,Mundo de Morden,197%,R$ 17.800,10/11/2018,/morden?ref=ctrse_explore
125 pessoas,Meta R$ 15.000,R$ 17.777,Campanha Flexível , São Paulo	 SP,Vamos criar uma praça na Escola Fernão Dias? ,118%,R$ 17.777,20/10/2018,/pracaescolafernaodiaspaes?ref=ctrse_explore
77 pessoas,Meta R$ 16.000,R$ 17.776,Campanha Tudo-ou-nada , Belo Horizonte	 MG,20 Anos ao Piano - Concerto Comemorativo da Pianista Bárbara Freitas,111%,R$ 17.776,17/09/2014,/concertocomemorativo?ref=ctrse_explore
149 pessoas,Meta R$ 15.000,R$ 17.775,Campanha Tudo-ou-nada , Curitiba	 PR,MEO - voz e piano,118%,R$ 17.775,12/03/2019,/meo?ref=ctrse_explore
91 pessoas,Meta R$ 20.000,R$ 17.770,Campanha Flexível , São Paulo	 SP,Festival Ganja Talks,88%,R$ 17.770,30/04/2016,/ganjatalks?ref=ctrse_explore
49 pessoas,Meta R$ 14.700,R$ 17.765,Campanha Tudo-ou-nada , Campos do Jordão	 SP,Expedição Entorno,120%,R$ 17.765,06/12/2013,/entornocdj?ref=ctrse_explore
99 pessoas,Meta R$ 16.000,R$ 17.750,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,DVD de Aldir e Ouvir,110%,R$ 17.750,09/11/2017,/dorinaealdir?ref=ctrse_explore
97 pessoas,Meta R$ 6.000,R$ 17.735,Campanha Tudo-ou-nada , São Paulo	 SP,Xavier,295%,R$ 17.735,14/06/2015,/curtaxavier?ref=ctrse_explore
74 pessoas,Meta R$ 16.000,R$ 17.715,Campanha Tudo-ou-nada , São Paulo	 SP,Sapatilhas Ballerini,110%,R$ 17.715,09/08/2013,/ballerini?ref=ctrse_explore
147 pessoas,Meta R$ 15.000,R$ 17.710,Campanha Tudo-ou-nada , Porto Alegre	 RS,Livro do FreeWalkPOA,118%,R$ 17.710,28/04/2014,/freewalkpoa?ref=ctrse_explore
181 pessoas,Meta R$ 15.000,R$ 17.683,Campanha Tudo-ou-nada , Aracaju	 SE,Coutto Orchestra - Disco Voga,117%,R$ 17.683,01/07/2015,/couttoorchestra?ref=ctrse_explore
237 pessoas,Meta R$ 4.800,R$ 17.674,Campanha Tudo-ou-nada , São Paulo	 SP,Monteiro Lobato,368%,R$ 17.674,28/06/2019,/lobato?ref=ctrse_explore
128 pessoas,Meta R$ 13.500,R$ 17.665,Campanha Tudo-ou-nada , São Paulo	 SP,Bloco Acadêmicos da Nove de Julho 2019,130%,R$ 17.665,27/01/2019,/academicos2019?ref=ctrse_explore
187 pessoas,Meta R$ 15.000,R$ 17.661,Campanha Tudo-ou-nada , Florianópolis	 SC,(A)Gentes do Riso - Visitas em Hospitais de Florianópolis,117%,R$ 17.661,11/08/2015,/agentesdoriso?ref=ctrse_explore
243 pessoas,Meta R$ 15.000,R$ 17.655,Campanha Tudo-ou-nada , Brasília	 DF,SAMBA 3,117%,R$ 17.655,09/12/2012,/samba3?ref=ctrse_explore
269 pessoas,Meta R$ 14.500,R$ 17.646,Campanha Tudo-ou-nada , Porto Alegre	 RS,Projeto Camaleão - Autoestima contra o câncer,121%,R$ 17.646,08/07/2014,/projetocamaleao?ref=ctrse_explore
179 pessoas,Meta R$ 15.000,R$ 17.640,Campanha Tudo-ou-nada , São Paulo	 SP,The Displaced ,117%,R$ 17.640,03/11/2018,/the_displaced_2fe9?ref=ctrse_explore
164 pessoas,Meta R$ 14.000,R$ 17.636,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Livro As bestas dentro de nós,125%,R$ 17.636,17/04/2019,/livro_as_bestas_dentro_de_nos?ref=ctrse_explore
64 pessoas,Meta R$ 16.850,R$ 17.615,Campanha Tudo-ou-nada , São Paulo	 SP,Fracasso,104%,R$ 17.615,30/08/2014,/fracasso?ref=ctrse_explore
203 pessoas,Meta R$ 15.000,R$ 17.591,Campanha Tudo-ou-nada , São Paulo	 SP,Festival PopPorn 2013 ,117%,R$ 17.591,27/05/2013,/popporn3?ref=ctrse_explore
151 pessoas,Meta R$ 15.000,R$ 17.578,Campanha Tudo-ou-nada , Belém	 PA,Pretérito Mais Que Perfeito,117%,R$ 17.578,28/11/2014,/preterito?ref=ctrse_explore
109 pessoas,Meta R$ 16.100,R$ 17.573,Campanha Tudo-ou-nada , São Paulo	 SP,Caipira Urbano,109%,R$ 17.573,01/08/2014,/sertaotrio?ref=ctrse_explore
152 pessoas,Meta R$ 16.000,R$ 17.555,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Cinderela,109%,R$ 17.555,30/05/2015,/cindereladejosewilker?ref=ctrse_explore
71 pessoas,Meta R$ 17.000,R$ 17.535,Campanha Tudo-ou-nada , Curitiba	 PR,Inquietação,103%,R$ 17.535,28/02/2014,/beff?ref=ctrse_explore
141 pessoas,Meta R$ 15.000,R$ 17.500,Campanha Tudo-ou-nada , Brasília	 DF,Vivendo Mais,116%,R$ 17.500,20/01/2017,/vivendomais?ref=ctrse_explore
142 pessoas,Meta R$ 30.000,R$ 17.490,Campanha Flexível , São Paulo	 SP,Natureza Morta: o labirinto do Minotauro,58%,R$ 17.490,16/12/2017,/valdemircunha?ref=ctrse_explore
229 pessoas,Meta R$ 14.000,R$ 17.476,Campanha Tudo-ou-nada , Curitiba	 PR,Love - “A arte que não deveria ser” de W. Pax,124%,R$ 17.476,01/11/2014,/love?ref=ctrse_explore
124 pessoas,Meta R$ 17.242,R$ 17.470,Campanha Tudo-ou-nada , Curitiba	 PR,Taque Tique Tá - MPB para Crianças,101%,R$ 17.470,13/11/2015,/taquetiqueta?ref=ctrse_explore
75 pessoas,Meta R$ 15.000,R$ 17.462,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,The Shotgun Diaries: edição definitiva!,116%,R$ 17.462,10/05/2018,/shotgun?ref=ctrse_explore
244 pessoas,Meta R$ 11.000,R$ 17.453,Campanha Flexível , Campinas	 SP,Coisas que nunca contei	 mas por sorte fotografei,158%,R$ 17.453,30/08/2017,/coisasquenunca?ref=ctrse_explore
130 pessoas,Meta R$ 16.000,R$ 17.453,Campanha Tudo-ou-nada , São Paulo	 SP,ANDORINHA - Ateliê Itinerante,109%,R$ 17.453,18/02/2019,/andorinha?ref=ctrse_explore
564 pessoas,Meta R$ 4.000,R$ 17.449,Campanha Flexível , Aparecida de Goiânia	 GO,Ajudando crianças carentes/ Aparecida de Goiânia ,436%,R$ 17.449,11/01/2017,/distribuicao_de_materiais_escolares_roupas_brinquedos_e_comidas_no_lixao_em_aparecida_de_goiania_bb77?ref=ctrse_explore
215 pessoas,Meta R$ 16.500,R$ 17.431,Campanha Tudo-ou-nada , São Paulo	 SP,Fast Food da Política,105%,R$ 17.431,02/10/2015,/fastfooddapolitica?ref=ctrse_explore
44 pessoas,Meta R$ 15.000,R$ 17.425,Campanha Tudo-ou-nada , Curitiba	 PR,Expedição Ir e Vir de Bike - Tour d´Afrique,116%,R$ 17.425,02/01/2013,/tda2013?ref=ctrse_explore
93 pessoas,Meta R$ 17.250,R$ 17.420,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,A Vida Dela,100%,R$ 17.420,14/04/2016,/avidadela?ref=ctrse_explore
60 pessoas,Meta R$ 15.000,R$ 17.395,Campanha Tudo-ou-nada , Uberlândia	 MG,Terra dos Patos ,115%,R$ 17.395,16/08/2011,/terra-dos-patos?ref=ctrse_explore
188 pessoas,Meta R$ 15.000,R$ 17.390,Campanha Tudo-ou-nada , Curitiba	 PR,Revolta!,115%,R$ 17.390,08/10/2013,/revolta?ref=ctrse_explore
398 pessoas,Meta R$ 15.000,R$ 17.380,Campanha Tudo-ou-nada , São Paulo	 SP,Doppler,115%,R$ 17.380,20/12/2017,/doppler_8743?ref=ctrse_explore
281 pessoas,Meta R$ 8.000,R$ 17.376,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Karyu Densetsu,217%,R$ 17.376,05/10/2018,/KDRPG?ref=ctrse_explore
286 pessoas,Meta R$ 15.000,R$ 17.367,Campanha Tudo-ou-nada , São Paulo	 SP,Cidades para Pessoas - parte 2,115%,R$ 17.367,20/09/2012,/cidadesparapessoas2?ref=ctrse_explore
187 pessoas,Meta R$ 15.000,R$ 17.360,Campanha Flexível , Rio de Janeiro	 RJ,STRESS - DEVASTAÇÃO,115%,R$ 17.360,09/12/2018,/stress?ref=ctrse_explore
158 pessoas,Meta R$ 11.900,R$ 17.360,Campanha Tudo-ou-nada , São Paulo	 SP,Escritores na Estrada,145%,R$ 17.360,08/07/2015,/escritoresnaestrada?ref=ctrse_explore
156 pessoas,Meta R$ 14.950,R$ 17.316,Campanha Tudo-ou-nada , São Paulo	 SP,dança três,115%,R$ 17.316,14/05/2017,/3?ref=ctrse_explore
115 pessoas,Meta R$ 14.153,R$ 17.314,Campanha Tudo-ou-nada , São Paulo	 SP,Juliana Lima -  DVD Aquariana,122%,R$ 17.314,03/07/2015,/julianalima?ref=ctrse_explore
207 pessoas,Meta R$ 14.000,R$ 17.311,Campanha Tudo-ou-nada , São José dos Campos	 SP,Diabolik Vol.2,123%,R$ 17.311,15/03/2019,/diabolik2?ref=ctrse_explore
95 pessoas,Meta R$ 16.024,R$ 17.310,Campanha Tudo-ou-nada , Curitiba	 PR,Terraço Verde Curitiba,108%,R$ 17.310,20/01/2019,/terracoverdecuritiba?ref=ctrse_explore
153 pessoas,Meta R$ 16.000,R$ 17.309,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,História do Zoológico,108%,R$ 17.309,19/07/2014,/zoologico?ref=ctrse_explore
203 pessoas,Meta R$ 20.000,R$ 17.301,Campanha Flexível , Porto Alegre	 RS,Corrida Maluca de Cadeirantes 2016 ,86%,R$ 17.301,02/06/2016,/corridamaluca2016?ref=ctrse_explore
188 pessoas,Meta R$ 14.830,R$ 17.286,Campanha Tudo-ou-nada , Fortaleza	 CE,Jardim dos Famintos,116%,R$ 17.286,30/04/2017,/jardimdosfamintos?ref=ctrse_explore
310 pessoas,Meta R$ 10.000,R$ 17.266,Campanha Tudo-ou-nada , Porto Alegre	 RS,Sofia e Otto,172%,R$ 17.266,19/09/2018,/sofiaeotto?ref=ctrse_explore
141 pessoas,Meta R$ 13.500,R$ 17.250,Campanha Tudo-ou-nada , Santos	 SP,O Circo Panapaná,127%,R$ 17.250,16/02/2014,/panapana?ref=ctrse_explore
107 pessoas,Meta R$ 12.000,R$ 17.240,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Falando Frangamente,143%,R$ 17.240,30/03/2017,/falandofrangamente?ref=ctrse_explore
141 pessoas,Meta R$ 15.000,R$ 17.223,Campanha Tudo-ou-nada , Porto Alegre	 RS,Bota do Mundo,114%,R$ 17.223,09/12/2013,/botadomundo?ref=ctrse_explore
63 pessoas,Meta R$ 16.953,R$ 17.195,Campanha Tudo-ou-nada , São Paulo	 SP,Virada Virtual,101%,R$ 17.195,10/06/2015,/viradavirtual?ref=ctrse_explore
43 pessoas,Meta R$ 22.000,R$ 17.185,Campanha Flexível , São José de Ribamar	 MA,XAMA10ANOS,78%,R$ 17.185,23/06/2018,/xama10anos?ref=ctrse_explore
179 pessoas,Meta R$ 15.000,R$ 17.175,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,RED - 4a Temporada,114%,R$ 17.175,12/07/2017,/red4?ref=ctrse_explore
99 pessoas,Meta R$ 15.712,R$ 17.142,Campanha Tudo-ou-nada , São Paulo	 SP,7 Corações ,109%,R$ 17.142,19/04/2018,/7coracoes?ref=ctrse_explore
80 pessoas,Meta R$ 16.000,R$ 17.115,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Aqui ao Lado,106%,R$ 17.115,02/11/2014,/aquiaolado?ref=ctrse_explore
90 pessoas,Meta R$ 15.000,R$ 17.105,Campanha Tudo-ou-nada , São Paulo	 SP,O Homem das Gavetas,114%,R$ 17.105,04/10/2018,/o_homem_das_gavetas_3fc0?ref=ctrse_explore
269 pessoas,Meta R$ 13.440,R$ 17.103,Campanha Tudo-ou-nada , São Paulo	 SP,Festival BaixoCentro,127%,R$ 17.103,10/03/2012,/festival-baixocentro?ref=ctrse_explore
170 pessoas,Meta R$ 12.000,R$ 17.102,Campanha Flexível , Rio de Janeiro	 RJ,Esconderijo | Websérie LGBT | Segunda Temporada,142%,R$ 17.102,23/03/2018,/esconderijoaserie?ref=ctrse_explore
298 pessoas,Meta R$ 16.000,R$ 17.090,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,DOIS RIOS,106%,R$ 17.090,27/10/2017,/doisrios?ref=ctrse_explore
144 pessoas,Meta R$ 16.800,R$ 17.070,Campanha Tudo-ou-nada , São Carlos	 SP,Delírios de um cinemaníaco,101%,R$ 17.070,09/12/2011,/delirios-de-um-cinemaniaco?ref=ctrse_explore
55 pessoas,Meta R$ 16.990,R$ 17.069,Campanha Tudo-ou-nada , Belo Horizonte	 MG,Artesanato Solidário - Raízes,100%,R$ 17.069,05/01/2013,/artesanatosolidarioraizes?ref=ctrse_explore
177 pessoas,Meta R$ 35.843,R$ 17.050,Campanha Flexível , São Paulo	 SP,Casa das Crioulas -  #maesautonomas,47%,R$ 17.050,08/04/2016,/casadascrioulas?ref=ctrse_explore
121 pessoas,Meta R$ 25.250,R$ 17.048,Campanha Flexível , Alfenas	 MG,Novo álbum Quartetto Sentinela,67%,R$ 17.048,16/10/2018,/quartetto_sentinela?ref=ctrse_explore
299 pessoas,Meta R$ 12.000,R$ 17.010,Campanha Tudo-ou-nada , São Paulo	 SP,Mayara & Annabelle Vol. 4,141%,R$ 17.010,09/09/2017,/mea4?ref=ctrse_explore
156 pessoas,Meta R$ 16.000,R$ 17.010,Campanha Tudo-ou-nada , Brasília	 DF,Segundo disco do Profissão :),106%,R$ 17.010,21/09/2018,/profissaodeurubu?ref=ctrse_explore
100 pessoas,Meta R$ 17.000,R$ 17.010,Campanha Tudo-ou-nada , Florianópolis	 SC,G.A.T.U. - Grupo Anti Terrorista Ulisses Guimaraes - O Livro,100%,R$ 17.010,15/05/2015,/gatu?ref=ctrse_explore
297 pessoas,Meta R$ 15.500,R$ 17.000,Campanha Tudo-ou-nada , Lençóis Paulista	 SP,Rafael Castro - Um Chopp E Um Sundae,109%,R$ 17.000,27/01/2015,/rafaelcastro?ref=ctrse_explore
88 pessoas,Meta R$ 16.464,R$ 16.999,Campanha Tudo-ou-nada , São Paulo	 SP,Rodolfo Guilherme Quinteto - Primeiro Disco,103%,R$ 16.999,07/07/2019,/rg5teto?ref=ctrse_explore
80 pessoas,Meta R$ 26.000,R$ 16.995,Campanha Flexível , São Paulo	 SP,Daqui Pra Frente,65%,R$ 16.995,08/06/2018,/daqui_pra_frente_nr?ref=ctrse_explore
156 pessoas,Meta R$ 35.200,R$ 16.990,Campanha Flexível , Rio de Janeiro	 RJ,O Grande Cometa de 1812 - 2ª Temporada,48%,R$ 16.990,05/09/2017,/grandecometa?ref=ctrse_explore
221 pessoas,Meta R$ 15.000,R$ 16.990,Campanha Tudo-ou-nada , São Paulo	 SP,A Vida com Logan para Ler no Sofá,113%,R$ 16.990,18/11/2013,/avidacomlogan?ref=ctrse_explore
162 pessoas,Meta R$ 16.575,R$ 16.985,Campanha Tudo-ou-nada , Florianópolis	 SC,Catarinas,102%,R$ 16.985,21/04/2016,/portal_catarinas?ref=ctrse_explore
57 pessoas,Meta R$ 16.340,R$ 16.928,Campanha Tudo-ou-nada , Itirapina	 SP,Sementes da Toca "O Ser e O Ter",103%,R$ 16.928,24/11/2014,/sementesdatoca?ref=ctrse_explore
326 pessoas,Meta R$ 16.000,R$ 16.916,Campanha Tudo-ou-nada , São Paulo	 SP,Teto Quadro Chão - Coletânea de Quadrinhos de Gus Morais,105%,R$ 16.916,11/10/2015,/tetoquadrochao?ref=ctrse_explore
93 pessoas,Meta R$ 16.000,R$ 16.905,Campanha Tudo-ou-nada , São Paulo	 SP,Morar,105%,R$ 16.905,03/06/2011,/morar?ref=ctrse_explore
43 pessoas,Meta R$ 16.500,R$ 16.900,Campanha Tudo-ou-nada , Ribeirão Preto	 SP,Clipe Novo do Angudadá,102%,R$ 16.900,30/04/2015,/angudada?ref=ctrse_explore
227 pessoas,Meta R$ 16.000,R$ 16.899,Campanha Tudo-ou-nada , Porto Alegre	 RS,CRIMES E CASTIGOS de Carlos Nine,105%,R$ 16.899,09/06/2018,/crimes_e_castigos_de_carlos_nine_d1a6?ref=ctrse_explore
179 pessoas,Meta R$ 15.000,R$ 16.862,Campanha Tudo-ou-nada , São Paulo	 SP,PopPorn Festival 5,112%,R$ 16.862,31/05/2015,/popporn5?ref=ctrse_explore
190 pessoas,Meta R$ 13.000,R$ 16.852,Campanha Tudo-ou-nada , Curitiba	 PR,Last RPG Fantasy - livro jogo,129%,R$ 16.852,26/08/2012,/last-rpg-fantasy-livro-jogo?ref=ctrse_explore
157 pessoas,Meta R$ 14.200,R$ 16.851,Campanha Tudo-ou-nada , São Paulo	 SP,Tiquatira em Construção,118%,R$ 16.851,09/10/2012,/tiquatiraconstrucao?ref=ctrse_explore
113 pessoas,Meta R$ 13.560,R$ 16.845,Campanha Tudo-ou-nada , Niterói	 RJ,Paralelo,124%,R$ 16.845,23/10/2015,/paralelo_ofilme?ref=ctrse_explore
316 pessoas,Meta R$ 15.000,R$ 16.835,Campanha Tudo-ou-nada , Araraquara	 SP,Eudaimonia,112%,R$ 16.835,21/10/2017,/eudaimonia?ref=ctrse_explore
382 pessoas,Meta R$ 4.500,R$ 16.832,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Ronin,374%,R$ 16.832,07/06/2019,/ronin?ref=ctrse_explore
343 pessoas,Meta R$ 14.667,R$ 16.825,Campanha Tudo-ou-nada , João Pessoa	 PB,De Dentro Da Couraça,114%,R$ 16.825,05/05/2015,/DDDC?ref=ctrse_explore
95 pessoas,Meta R$ 16.130,R$ 16.820,Campanha Tudo-ou-nada , Belo Horizonte	 MG,Pimp My Carroça - PIMPEX BH (Belo Horizonte - MG),104%,R$ 16.820,30/11/2015,/pimpexbh?ref=ctrse_explore
227 pessoas,Meta R$ 15.000,R$ 16.817,Campanha Tudo-ou-nada , São Paulo	 SP,BLUE - Esmagatinho,112%,R$ 16.817,04/09/2018,/blue3?ref=ctrse_explore
262 pessoas,Meta R$ 15.000,R$ 16.810,Campanha Tudo-ou-nada , São Caetano do Sul	 SP,★ STRGRL - EPØ1 ★,112%,R$ 16.810,05/10/2018,/strgrl01?ref=ctrse_explore
140 pessoas,Meta R$ 15.000,R$ 16.805,Campanha Tudo-ou-nada , Florianópolis	 SC,Moebius,112%,R$ 16.805,14/03/2014,/grao?ref=ctrse_explore
149 pessoas,Meta R$ 16.000,R$ 16.795,Campanha Flexível , São Paulo	 SP,Mamãe	 quando você vai sarar?,104%,R$ 16.795,11/07/2019,/mamae_quando_voce_vai_sarar_9c1c?ref=ctrse_explore
249 pessoas,Meta R$ 15.164,R$ 16.795,Campanha Flexível , Rio de Janeiro	 RJ,Python Sudeste 2017,110%,R$ 16.795,17/03/2017,/pythonsudeste2017?ref=ctrse_explore
249 pessoas,Meta R$ 15.164,R$ 16.795,Campanha Flexível , Rio de Janeiro	 RJ,Python Sudeste 2017,110%,R$ 16.795,17/03/2017,/pythonsudeste2017?ref=ctrse_explore
304 pessoas,Meta R$ 49.482,R$ 16.790,Campanha Flexível , São Paulo	 SP,Imersão Transformadores Colab • 2a Turma,33%,R$ 16.790,08/02/2017,/transformadorescolabturma2?ref=ctrse_explore
174 pessoas,Meta R$ 15.000,R$ 16.785,Campanha Tudo-ou-nada , São Paulo	 SP,VIRADA POLÍTICA 2016,111%,R$ 16.785,30/08/2016,/viradapolitica2016?ref=ctrse_explore
407 pessoas,Meta R$ 4.000,R$ 16.767,Campanha Tudo-ou-nada , Teresina	 PI,Panza  O Primeiro Sidekick,419%,R$ 16.767,22/10/2015,/panza?ref=ctrse_explore
123 pessoas,Meta R$ 15.000,R$ 16.765,Campanha Tudo-ou-nada , São Paulo	 SP,Folie à Deux,111%,R$ 16.765,20/03/2019,/folieadeux?ref=ctrse_explore
190 pessoas,Meta R$ 13.850,R$ 16.760,Campanha Tudo-ou-nada , Campinas	 SP,A Rainha Pirata,121%,R$ 16.760,12/05/2017,/arainhapirata?ref=ctrse_explore
161 pessoas,Meta R$ 16.000,R$ 16.759,Campanha Flexível , Curitiba	 PR,Camylla quer levantar 28 casas no Paraná. Apoie!,104%,R$ 16.759,09/05/2019,/embaixadoracamylla?ref=ctrse_explore
190 pessoas,Meta R$ 18.000,R$ 16.745,Campanha Flexível , Aracaju	 SE,Bloco Vem Ni Mim Arnesto,93%,R$ 16.745,16/02/2019,/blocodoarnesto?ref=ctrse_explore
84 pessoas,Meta R$ 15.000,R$ 16.740,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Bonitinha	 mas Ordinária,111%,R$ 16.740,10/10/2015,/ordinarios?ref=ctrse_explore
44 pessoas,Meta R$ 13.680,R$ 16.740,Campanha Tudo-ou-nada , São Paulo	 SP,Stromboli para crianças,122%,R$ 16.740,09/09/2014,/stromboli?ref=ctrse_explore
180 pessoas,Meta R$ 12.000,R$ 16.730,Campanha Tudo-ou-nada , São Paulo	 SP,Desculpe	 não ouvi! – O Livro,139%,R$ 16.730,03/01/2014,/desculpenaoouvi?ref=ctrse_explore
172 pessoas,Meta R$ 14.000,R$ 16.725,Campanha Tudo-ou-nada , Curitiba	 PR,Paranambuco | Show de lançamento do disco "Orun Aye",119%,R$ 16.725,01/09/2015,/paranambuco?ref=ctrse_explore
210 pessoas,Meta R$ 15.000,R$ 16.710,Campanha Tudo-ou-nada , São Paulo	 SP,Arraiá Nosso Lar,111%,R$ 16.710,12/08/2014,/arraianossolar?ref=ctrse_explore
247 pessoas,Meta R$ 20.000,R$ 16.705,Campanha Flexível , Belo Horizonte	 MG,14º Mumia,83%,R$ 16.705,30/09/2016,/14mumia?ref=ctrse_explore
82 pessoas,Meta R$ 27.000,R$ 16.700,Campanha Flexível , São Sebastião	 SP,OssoBanda no Catarse,61%,R$ 16.700,18/05/2018,/ossobandanocatarse?ref=ctrse_explore
247 pessoas,Meta R$ 12.000,R$ 16.700,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Filho do Freud 3,139%,R$ 16.700,12/12/2017,/filhodofreud?ref=ctrse_explore
235 pessoas,Meta R$ 30.000,R$ 16.700,Campanha Flexível , São Paulo	 SP,Catarse do Porcas,55%,R$ 16.700,09/05/2017,/porcasborboletas?ref=ctrse_explore
471 pessoas,Meta R$ 12.500,R$ 16.698,Campanha Tudo-ou-nada , Uberlândia	 MG,O despertar de Zé Fogueira,133%,R$ 16.698,04/09/2015,/zefogueira?ref=ctrse_explore
314 pessoas,Meta R$ 7.000,R$ 16.694,Campanha Tudo-ou-nada , São Paulo	 SP,Biomod 2015 - Brazil Team,238%,R$ 16.694,01/11/2015,/protomatos?ref=ctrse_explore
124 pessoas,Meta R$ 6.041,R$ 16.687,Campanha Flexível , São Paulo	 SP,Um olhar sobre LHON,276%,R$ 16.687,29/06/2017,/um_olhar_sobre_lhon?ref=ctrse_explore
363 pessoas,Meta R$ 9.500,R$ 16.680,Campanha Tudo-ou-nada , São Paulo	 SP,Manual Prático da Garota Mágica,175%,R$ 16.680,23/09/2017,/manual_pratico_da_garota_magica_981d?ref=ctrse_explore
194 pessoas,Meta R$ 14.000,R$ 16.675,Campanha Tudo-ou-nada , São Paulo	 SP,INNER Help - Crowdfund#2 - Natal Musical,119%,R$ 16.675,07/12/2016,/natalmusical?ref=ctrse_explore
147 pessoas,Meta R$ 15.000,R$ 16.675,Campanha Tudo-ou-nada , São Paulo	 SP,Livro: Fotografia além dos Olhos,111%,R$ 16.675,12/04/2014,/DLrecife?ref=ctrse_explore
